sku,style,category,size,asin,product_name
JNE3718-KR-S,JNE3718,kurta,S,B099FC7FSQ,Stylish Kurta
SET397-KR-NP  -M,SET397,Set,M,B09RKD6KWL,Elegant Set
JNE3861-DR-XXL,JNE3861,Western Dress,XXL,B09SDY9GXB,Summer Dress
J0335-DR-XL,J0335,Western Dress,XL,B09831P2JC,Summer Dress
J0335-DR-XXL,J0335,Western Dress,XXL,B0982ZS9FG,Evening Dress
JNE1525-KR-UDF19-A-S,JNE1525,kurta,S,B0743FRDLK,Cotton Kurta
JNE3654-TP-XL,JNE3654,Top,XL,B09873BFC1,Formal Top
JNE3261-KR-S,JNE3261,kurta,S,B07R41PW8D,Cotton Kurta
SET324-KR-NP-S,SET324,Set,S,B09NQ4CZ65,Casual Set
SET332-KR-PP-S,SET332,Set,S,B09NQ33VW2,Formal Set
SET324-KR-NP-XXXL,SET324,Set,3XL,B09NQ51MPV,Elegant Set
SET280-KR-PP-S,SET280,Set,S,B09CT26LGZ,Designer Set
JNE3618-KR-XXL,JNE3618,kurta,XXL,B091Q9J9QL,Casual Kurta
SET304-KR-DPT-XS,SET304,Set,XS,B09K3LRR2T,Elegant Set
MEN5032-KR-XXXL,MEN5032,kurta,3XL,B08YZ2ZXT7,Casual Kurta
SET110-KR-PP-XXL,SET110,Set,XXL,B0822V61TT,Casual Set
SET324-KR-NP-M,SET324,Set,M,B09NQ4NM75,Designer Set
SET269-KR-NP-XXXL,SET269,Set,3XL,B0983FSRFS,Formal Set
JNE3794-KR-M,JNE3794,kurta,M,B09HMVWDN3,Cotton Kurta
JNE3291-KR-XXL,JNE3291,kurta,XXL,B07R41RZV7,Casual Kurta
JNE3440-KR-N-XXXL,JNE3440,kurta,3XL,B09HMTKV2L,Designer Kurta
JNE2270-KR-487-A-XXL,JNE2270,kurta,XXL,B07H7DZXJ5,Designer Kurta
JNE3261-KR-M,JNE3261,kurta,M,B07R5X3499,Cotton Kurta
SET110-KR-PP-M,SET110,Set,M,B0822TDMYH,Designer Set
J0300-TP-XXXL,J0300,Top,3XL,B099S7RDLZ,Designer Top
JNE3810-KR-S,JNE3810,kurta,S,B09RKBYVXN,Casual Kurta
JNE3461-KR-XL,JNE3461,kurta,XL,B08B3YPXKZ,Casual Kurta
JNE3429-KR-XL,JNE3429,kurta,XL,B0893DJ4TN,Casual Kurta
JNE3710-DR-S,JNE3710,Western Dress,S,B091SV9XW1,Cocktail Dress
J0113-TP-XS,J0113,Top,XS,B08TZNX8NY,Casual Top
SET355-KR-PP-M,SET355,Set,M,B09RKDPHFP,Designer Set
J0009-SKD-S,J0009,Set,S,B0894X8979,Elegant Set
J0248-KR-DPT-XL,J0248,Set,XL,B09RKFS78Y,Casual Set
JNE3560-KR-XL,JNE3560,kurta,XL,B08PCSJ2M6,Designer Kurta
JNE3373-KR-XXXL,JNE3373,kurta,3XL,B082W7MZVQ,Designer Kurta
SET398-KR-PP-L,SET398,Set,L,B09RP8WLNY,Formal Set
NW032-ST-CP-XXL,NW032,Set,XXL,B0922SFWK1,Formal Set
SET361-KR-NP-S,SET361,Set,S,B09QJ4J6KJ,Casual Set
JNE3797-KR-L,JNE3797,Western Dress,L,B09SDXFFQ1,Evening Dress
JNE3887-KR-XL,JNE3887,kurta,XL,B09TZVXQ1J,Casual Kurta
JNE3870-DR-XXL,JNE3870,Western Dress,XXL,B09RK61TZX,Cocktail Dress
SET345-KR-NP-XS,SET345,Set,XS,B09KXSVTDB,Casual Set
NW013-ST-SR-L,NW013,Set,L,B0928XJX1F,Elegant Set
JNE2014-KR-178-XL,JNE2014,kurta,XL,B077MM3LFJ,Casual Kurta
JNE3612-KR-S,JNE3612,kurta,S,B091Q7G4PC,Casual Kurta
PJNE2100-KR-N-6XL,PJNE2100,kurta,6XL,B09LD3PMBT,Stylish Kurta
SET398-KR-PP-XXXL,SET398,Set,3XL,B09RPJD74Z,Formal Set
J0006-SET-M,J0006,Ethnic Dress,M,B0894WV6S6,Festival Dress
JNE3437-KR-S,JNE3437,kurta,S,B085HGB1GT,Casual Kurta
JNE3465-KR-S,JNE3465,kurta,S,B08BF4GQ9V,Designer Kurta
J0373-KR-XXXL,J0373,kurta,3XL,B09KXQ3NHZ,Designer Kurta
J0344-TP-XXXL,J0344,Top,3XL,B098731927,Summer Top
J0118-TP-XXL,J0118,Top,XXL,B08N4QTQHW,Casual Top
SET200-KR-NP-A-XS,SET200,Set,XS,B08L92SN2W,Elegant Set
JNE1998-KR-311-XXL,JNE1998,kurta,XXL,B078NTPQHT,Casual Kurta
MEN5004-KR-XXXL,MEN5004,kurta,3XL,B08YZ2W99X,Casual Kurta
SET345-KR-NP-XXL,SET345,Set,XXL,B09KXSQ73F,Elegant Set
JNE3654-TP-L,JNE3654,Top,L,B09B3GS5CM,Casual Top
J0344-TP-L,J0344,Top,L,B0986XYFFP,Summer Top
J0334-TP-L,J0334,Top,L,B0986XXHX7,Casual Top
J0230-SKD-S,J0230,Set,S,B08XNJ19QH,Designer Set
JNE1233-BLUE-KR-031-XXL,JNE1233,kurta,XXL,B071VG5FH4,Casual Kurta
J0295-DR-M,J0295,Western Dress,M,B099NP42BF,Summer Dress
SET324-KR-NP-L,SET324,Set,L,B09NQ44RNV,Designer Set
J0147-SET-XL,J0147,Set,XL,B091Z8TV5Q,Elegant Set
J0308-DR-L,J0308,Western Dress,L,B099NS9KRN,Casual Dress
NW030-TP-PJ-L,NW030,Set,L,B09G2T795K,Formal Set
SET360-KR-NP-XL,SET360,Set,XL,B09QJLG4DF,Designer Set
PJNE3373-KR-N-6XL,PJNE3373,kurta,6XL,B09LD3TCYP,Cotton Kurta
JNE3449-KR-XXL,JNE3449,kurta,XXL,B08BF9DZ3F,Casual Kurta
JNE3786-KR-S,JNE3786,kurta,S,B09M72VK88,Designer Kurta
J0003-SET-XXL,J0003,Set,XXL,B0894XKVH3,Designer Set
J0314-KR-M,J0314,kurta,M,B08PV1NB1B,Casual Kurta
J0341-DR-M,J0341,Western Dress,M,B099NQQ79L,Cocktail Dress
PJNE3068-KR-4XL,PJNE3068,kurta,4XL,B09M75YGQF,Casual Kurta
J0340-TP-M,J0340,Top,M,B0986XSXR1,Summer Top
JNE3687-TU-M,JNE3687,Top,M,B0986XRZ8X,Formal Top
J0376-SKD-L,J0376,Set,L,B09QJ4PXZ3,Casual Set
J0198-TP-S,J0198,Top,S,B0986XYHCY,Summer Top
JNE3453-KR-S,JNE3453,kurta,S,B085HMWJ4R,Casual Kurta
SET398-KR-PP-M,SET398,Set,M,B09RPRS8JL,Designer Set
NW033-ST-CP-XXXL,NW033,Set,3XL,B099NPX9K3,Designer Set
NW037-TP-SR-XXXL,NW037,Set,3XL,B099NQT8H8,Casual Set
JNE3618-KR-M,JNE3618,kurta,M,B091Q9Q34N,Cotton Kurta
SET290-KR-DPT-M,SET290,Set,M,B09B5922WD,Elegant Set
JNE3568-KR-XXL,JNE3568,kurta,XXL,B08KRYXSYH,Stylish Kurta
J0003-SET-XXXL,J0003,Set,3XL,B0894Y3VBB,Formal Set
JNE2153-KR-278-A-S,JNE2153,kurta,S,B0794T8ZLN,Cotton Kurta
JNE3645-TP-N-XS,JNE3645,Top,XS,B08ZJ2CB3B,Formal Top
JNE3662-TP-XS,JNE3662,Top,XS,B0986ZVL6Y,Formal Top
JNE3440-KR-N-L,JNE3440,kurta,L,B081X7JHBC,Stylish Kurta
SET331-KR-NP-S,SET331,Set,S,B09NQ47F17,Elegant Set
J0301-TP-M,J0301,Top,M,B099S9DTR2,Casual Top
MEN5004-KR-XL,MEN5004,kurta,XL,B08YZ19332,Cotton Kurta
J0352-KR-S,J0352,kurta,S,B098119Y7R,Designer Kurta
JNE3160-KR-G-XXL,JNE3160,kurta,XXL,B07K44CD3P,Casual Kurta
JNE3798-KR-M,JNE3798,Western Dress,M,B09SDXTRS9,Summer Dress
JNE3690-TU-XL,JNE3690,Top,XL,B094FKN153,Designer Top
SET355-KR-PP-XXL,SET355,Set,XXL,B09RKD8HQJ,Casual Set
SET317-KR-PP-XXL,SET317,Set,XXL,B09RKD5B2W,Designer Set
SET375-KR-NP-XL,SET375,Set,XL,B09RKFLLF1,Formal Set
JNE3371-KR-M,JNE3371,kurta,M,B07WP5HRMB,Cotton Kurta
SET116-KR-NP-XL,SET116,Set,XL,B082Z3MRPB,Casual Set
SET147-KR-NP-XL,SET147,Set,XL,B089B1J57W,Elegant Set
SET397-KR-NP-XL,SET397,Set,XL,B09RKDB8SB,Formal Set
SET300-KR-NP-L,SET300,Set,L,B09KXTBZ3N,Formal Set
JNE3384-KR-M,JNE3384,kurta,M,B084KYYXR3,Cotton Kurta
JNE3291-KR-XL,JNE3291,kurta,XL,B07R4XJNW3,Stylish Kurta
SET291-KR-PP-L,SET291,Set,L,B099NJKJ54,Formal Set
JNE3399-KR-L,JNE3399,kurta,L,B082W8354V,Cotton Kurta
JNE3440-KR-N-XS,JNE3440,kurta,XS,B09HMY3YLT,Casual Kurta
SET363-KR-NP-XXL,SET363,Set,XXL,B09TH61GMF,Casual Set
J0348-SET-S,J0348,Set,S,B09HNSNWRH,Formal Set
J0399-DR-M,J0399,Western Dress,M,B09SDYL6L2,Summer Dress
JNE3797-KR-M,JNE3797,Western Dress,M,B09SDY8DCT,Cocktail Dress
JNE3440-KR-N-M,JNE3440,kurta,M,B081WY1SP3,Casual Kurta
JNE3802-KR-M,JNE3802,kurta,M,B09K3W2LHF,Stylish Kurta
J0285-SKD-M,J0285,Set,M,B08QGNW2H8,Designer Set
SET322-KR-SHA-XL,SET322,Set,XL,B09RKHL9H2,Formal Set
MEN5021-KR-XL,MEN5021,kurta,XL,B08YYVLZVH,Stylish Kurta
PJ0096-KR-N-5XL,PJ0096,kurta,5XL,B09LD3ZZ2N,Designer Kurta
JNE3461-KR-M,JNE3461,kurta,M,B08B3VSTFG,Stylish Kurta
SET383-KR-NP-L,SET383,Set,L,B09K3PDMBM,Casual Set
J0002-SKD-XXXL,J0002,Set,3XL,B0894YJC25,Formal Set
SET344-KR-NP-XXXL,SET344,Set,3XL,B09QJ3WT3H,Casual Set
JNE3465-KR-XXL,JNE3465,kurta,XXL,B08BFT4ZKX,Stylish Kurta
SET324-KR-NP-XXL,SET324,Set,XXL,B09NQ3MPRM,Designer Set
SET184-KR-PP-XXXL,SET184,Set,3XL,B08W98B8ZN,Formal Set
J0008-SKD-S,J0008,Set,S,B0894XGJ83,Elegant Set
J0013-SKD-XXL,J0013,Set,XXL,B08CMRGFFJ,Casual Set
J0208-DR-S,J0208,Western Dress,S,B0967PHLMJ,Evening Dress
SET344-KR-NP-XL,SET344,Set,XL,B09QJ57BL6,Formal Set
NW001-TP-PJ-XXL,NW001,Set,XXL,B0922V99HN,Elegant Set
SET304-KR-DPT-S,SET304,Set,S,B09K3JVNR1,Designer Set
SET265-KR-NP-XL,SET265,Set,XL,B0983DQLBQ,Designer Set
SET004-KR-SP-A-S,SET004,Set,S,B07K5BDG1D,Formal Set
J0012-SKD-M,J0012,Set,M,B0894XYMWS,Designer Set
JNE3465-KR-M,JNE3465,kurta,M,B08BFV1DVW,Stylish Kurta
SET374-KR-NP-XS,SET374,Set,XS,B09NDKGZ6V,Formal Set
JNE3567-KR-XL,JNE3567,kurta,XL,B08KRTXC2Y,Cotton Kurta
J0041-SET-M,J0041,Set,M,B089G2L483,Elegant Set
JNE3611-KR-XL,JNE3611,kurta,XL,B08XVPKBKG,Designer Kurta
SET384-KR-NP-XS,SET384,Set,XS,B09K3DFHT2,Elegant Set
JNE3635-KR-L,JNE3635,kurta,L,B08XVYN7G6,Designer Kurta
J0118-TP-XXXL,J0118,Top,3XL,B08N43MK22,Summer Top
JNE3654-TP-XS,JNE3654,Top,XS,B0986ZFY2S,Casual Top
JNE3652-TP-N-XL,JNE3652,Top,XL,B08ZHXGSW3,Summer Top
J0339-DR-L,J0339,Western Dress,L,B098315N2Z,Evening Dress
SET303-KR-NP-XL,SET303,Set,XL,B09K3F7D9H,Designer Set
JNE3396-KR-XXXL,JNE3396,kurta,3XL,B083ZZ8869,Stylish Kurta
JNE3256-KR-XXXL,JNE3256,kurta,3XL,B07RSWN1C4,Cotton Kurta
J0340-TP-XS,J0340,Top,XS,B0987184SL,Formal Top
J0335-DR-S,J0335,Western Dress,S,B09831NCG7,Evening Dress
J0008-SKD-L,J0008,Set,L,B0894YB3B1,Formal Set
SET268-KR-NP-XS,SET268,Set,XS,B08XQBXFPP,Designer Set
J0280-SKD-S,J0280,Set,S,B08QGM7FCC,Casual Set
J0339-DR-M,J0339,Western Dress,M,B09831YHGV,Cocktail Dress
JNE3564-KR-XXXL,JNE3564,kurta,3XL,B09B2FNCBT,Stylish Kurta
SET182-KR-DH-L,SET182,Set,L,B085HRLT87,Elegant Set
SET128-KR-DH-M,SET128,Set,M,B07WZFT117,Designer Set
JNE3567-KR-XXL,JNE3567,kurta,XXL,B08KRYCC8J,Casual Kurta
JNE3568-KR-L,JNE3568,kurta,L,B08KS2BPL8,Casual Kurta
JNE3881-DR-XXXL,JNE3881,Western Dress,3XL,B09VC3ST6H,Evening Dress
JNE3639-TP-N-XXL,JNE3639,Top,XXL,B08ZH7RVGJ,Summer Top
SET291-KR-PP-XXL,SET291,Set,XXL,B099NJQ8JQ,Elegant Set
JNE3613-KR-XXL,JNE3613,kurta,XXL,B08XWBRM8L,Cotton Kurta
JNE3368-KR-XXXL,JNE3368,kurta,3XL,B0828PD16L,Designer Kurta
JNE3522-KR-XXL,JNE3522,kurta,XXL,B08W9K3MXR,Casual Kurta
JNE3741-KR-XXL,JNE3741,kurta,XXL,B099FBTWW1,Designer Kurta
SET293-KR-NP-S,SET293,Set,S,B09K3G4TS6,Casual Set
SET388-KR-NP-L,SET388,Set,L,B09QJLFDRK,Formal Set
J0008-SKD-XS,J0008,Set,XS,B0894WWGK9,Casual Set
SET197-KR-NP-L,SET197,Set,L,B08B3YPD63,Casual Set
MEN5029-KR-M,MEN5029,kurta,M,B08YZ1SZDH,Cotton Kurta
J0341-DR-XS,J0341,Western Dress,XS,B099NS55L1,Casual Dress
JNE3800-KR-M,JNE3800,Western Dress,M,B09SDXQ3X9,Evening Dress
SET183-KR-DH-M,SET183,Set,M,B08B3Z2YY3,Elegant Set
J0341-DR-XXL,J0341,Western Dress,XXL,B099NR3NXY,Casual Dress
J0341-DR-XXXL,J0341,Western Dress,3XL,B099NSQP4Z,Cocktail Dress
J0331-KR-XXXL,J0331,kurta,3XL,B09PD63F81,Cotton Kurta
JNE3752-KR-XXXL,JNE3752,kurta,3XL,B09K3Z6TT3,Designer Kurta
SET369-KR-NP-XXL,SET369,Set,XXL,B09QJM97Z8,Elegant Set
JNE3373-KR-XS,JNE3373,kurta,XS,B082W872VQ,Designer Kurta
JNE3805-KR-L,JNE3805,kurta,L,B09K3ZKHMW,Casual Kurta
JNE3537-KR-M,JNE3537,kurta,M,B08JGXZHY9,Stylish Kurta
J0003-SET-XL,J0003,Set,XL,B0894YFQ5R,Designer Set
SET264-KR-NP-XXL,SET264,Set,XXL,B08YNK9K8F,Elegant Set
JNE3567-KR-XS,JNE3567,kurta,XS,B08KRXDR4Y,Casual Kurta
J0329-KR-XXXL,J0329,kurta,3XL,B09KXRLH3S,Casual Kurta
JNE3568-KR-XL,JNE3568,kurta,XL,B08KS2BCHS,Designer Kurta
SET341-KR-NP-L,SET341,Set,L,B09NPXCZZG,Designer Set
JNE3543-KR-M,JNE3543,kurta,M,B08HHJQ3F4,Casual Kurta
JNE3365-KR-1052-A-S,JNE3365,kurta,S,B07WS14TZY,Cotton Kurta
JNE3759-KR-XL,JNE3759,kurta,XL,B099FB2C9L,Casual Kurta
MEN5001-KR-L,MEN5001,kurta,L,B08YYRNM5M,Casual Kurta
J0098-TP-XS,J0098,Top,XS,B092CZW41L,Summer Top
SET226-KR-PP-L,SET226,Set,L,B08MYTQ4F9,Formal Set
SET380-KR-NP-XXXL,SET380,Set,3XL,B09QJ3F6T9,Formal Set
MEN5009-KR-M,MEN5009,kurta,M,B08YYX8VKT,Stylish Kurta
MEN5011-KR-M,MEN5011,kurta,M,B08YZ1Z5XS,Stylish Kurta
MEN5032-KR-S,MEN5032,kurta,S,B08YYXJJ4V,Cotton Kurta
SET359-KR-NP-XXL,SET359,Set,XXL,B09RKFC8CP,Formal Set
J0199-SET-XXXL,J0199,Set,3XL,B08QGMQRLF,Formal Set
J0401-DR-L,J0401,Western Dress,L,B09SDXN14H,Evening Dress
J0003-SET-XS,J0003,Set,XS,B0894WW15B,Formal Set
J0308-DR-XL,J0308,Western Dress,XL,B099NS3FWG,Evening Dress
PJNE3252-KR-N-6XL,PJNE3252,kurta,6XL,B09LD24932,Casual Kurta
JNE3752-KR-M,JNE3752,kurta,M,B09K3WC7DN,Designer Kurta
SET217-KR-PP-XXXL,SET217,Set,3XL,B089B2WLM2,Formal Set
JNE3799-KR-XL,JNE3799,kurta,XL,B09SDYHWLX,Designer Kurta
JNE3294-KR-S,JNE3294,kurta,S,B07R5W78SS,Designer Kurta
SET356-KR-NP-XXXL,SET356,Set,3XL,B09QJ49VXB,Casual Set
JNE2014-KR-178-XXXL,JNE2014,kurta,3XL,B07G2CSMX9,Stylish Kurta
J0401-DR-XS,J0401,Western Dress,XS,B09SDXYWYN,Evening Dress
SET365-KR-NP-L,SET365,Set,L,B09QJM9NDP,Formal Set
JNE3405-KR-XXXL,JNE3405,kurta,3XL,B081WZ4T3V,Stylish Kurta
J0230-SKD-XXL,J0230,Set,XXL,B08XNGQCGM,Designer Set
JNE3465-KR-XXXL,JNE3465,kurta,3XL,B08BFVXK6N,Casual Kurta
SET265-KR-NP-M,SET265,Set,M,B0983DBK44,Casual Set
JNE3288-KR-M,JNE3288,kurta,M,B07R4ZNMX6,Stylish Kurta
SET316-KR-DPT-M,SET316,Set,M,B09KXTXLMZ,Designer Set
SET268-KR-NP-S,SET268,Set,S,B08XQ98B2Q,Elegant Set
JNE3800-KR-XXL,JNE3800,Western Dress,XXL,B09SDYNZQ5,Casual Dress
JNE2270-KR-487-A-L,JNE2270,kurta,L,B07H7FBV3Z,Designer Kurta
MEN5024-KR-M,MEN5024,kurta,M,B08YYTTNY5,Stylish Kurta
MEN5023-KR-XL,MEN5023,kurta,XL,B08YZ22Q6R,Stylish Kurta
JNE3797-KR-XS,JNE3797,Western Dress,XS,B09SDY9SQ6,Summer Dress
JNE3515-KR-XL,JNE3515,kurta,XL,B09812MNZC,Designer Kurta
J0225-SKD-XXL,J0225,Set,XXL,B09RKDP7D5,Casual Set
JNE3461-KR-L,JNE3461,kurta,L,B08B3YWTLK,Designer Kurta
JNE3618-KR-XS,JNE3618,kurta,XS,B091Q9S5ZK,Casual Kurta
PJNE3405-KR-N-5XL,PJNE3405,kurta,5XL,B09LD3PCNY,Stylish Kurta
JNE3500-KR-S,JNE3500,kurta,S,B09812MBCD,Stylish Kurta
JNE3368-KR-XXL,JNE3368,kurta,XXL,B081WSWWL7,Casual Kurta
